id,helper__tenant_code,name,description
019d96e2-1100-7000-8000-000000000001,BERUA,master.read,Read master data
019d96e2-1100-7000-8000-000000000002,BERUA,master.write,Create/update/delete master data
019d96e2-1100-7000-8000-000000000003,BERUA,employee.read,Read employee data
019d96e2-1100-7000-8000-000000000004,BERUA,employee.write,Create/update/delete employee data
019d96e2-1100-7000-8000-000000000005,BERUA,attendance.read,Read attendance data
019d96e2-1100-7000-8000-000000000006,BERUA,attendance.write,Manage attendance data
019d96e2-1100-7000-8000-000000000007,BERUA,user.read,Read user data
019d96e2-1100-7000-8000-000000000008,BERUA,user.write,Create/update/delete user data
019d96e2-1100-7000-8000-000000000009,BERUA,rbac.manage,Manage roles and permissions
019d96e2-1100-7000-8000-000000000010,BERUA,report.read,Read reports
